date,amount,category
2024-01-01,1200,Consulting
2024-01-02,-500,Marketing
2024-01-03,-200,Staff
2024-01-04,500,Consulting
2024-01-05,425,Forecast Revenue
2024-01-05,-175,Forecast Expense
2024-01-06,425,Forecast Revenue
2024-01-06,-175,Forecast Expense
2024-01-07,425,Forecast Revenue
2024-01-07,-175,Forecast Expense
2024-01-08,425,Forecast Revenue
2024-01-08,-175,Forecast Expense
2024-01-09,425,Forecast Revenue
2024-01-09,-175,Forecast Expense
2024-01-10,425,Forecast Revenue
2024-01-10,-175,Forecast Expense
2024-01-11,425,Forecast Revenue
2024-01-11,-175,Forecast Expense
2024-01-12,425,Forecast Revenue
2024-01-12,-175,Forecast Expense
2024-01-13,425,Forecast Revenue
2024-01-13,-175,Forecast Expense
2024-01-14,425,Forecast Revenue
2024-01-14,-175,Forecast Expense
2024-01-15,425,Forecast Revenue
2024-01-15,-175,Forecast Expense
2024-01-16,425,Forecast Revenue
2024-01-16,-175,Forecast Expense
2024-01-17,425,Forecast Revenue
2024-01-17,-175,Forecast Expense
2024-01-18,425,Forecast Revenue
2024-01-18,-175,Forecast Expense
2024-01-19,425,Forecast Revenue
2024-01-19,-175,Forecast Expense
2024-01-20,425,Forecast Revenue
2024-01-20,-175,Forecast Expense
2024-01-21,425,Forecast Revenue
2024-01-21,-175,Forecast Expense
2024-01-22,425,Forecast Revenue
2024-01-22,-175,Forecast Expense
2024-01-23,425,Forecast Revenue
2024-01-23,-175,Forecast Expense
2024-01-24,425,Forecast Revenue
2024-01-24,-175,Forecast Expense
2024-01-25,425,Forecast Revenue
2024-01-25,-175,Forecast Expense
2024-01-26,425,Forecast Revenue
2024-01-26,-175,Forecast Expense
2024-01-27,425,Forecast Revenue
2024-01-27,-175,Forecast Expense
2024-01-28,425,Forecast Revenue
2024-01-28,-175,Forecast Expense
2024-01-29,425,Forecast Revenue
2024-01-29,-175,Forecast Expense
2024-01-30,425,Forecast Revenue
2024-01-30,-175,Forecast Expense
2024-01-31,425,Forecast Revenue
2024-01-31,-175,Forecast Expense
2024-02-01,425,Forecast Revenue
2024-02-01,-175,Forecast Expense
2024-02-02,425,Forecast Revenue
2024-02-02,-175,Forecast Expense
2024-02-03,425,Forecast Revenue
2024-02-04,-175,Forecast Expense
